ID,Player,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
490, Nick Cousins,VGK,24,"LW, C",Left,81,7,20,27,0.33,-8,144,0.05,13:32,13.63,144,234,179,0.75,7.88,12.8,9.78,-,-,-,-,-,,UFA,"$1,000,000","$1,050,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No QO,,
491, Ross Johnston,NYI,24,LW,Left,17,1,3,4,0.24,3,12,0.08,7:54,1.79,12,17,14,0.8,5.35,7.58,6.24,-,-,-,-,-,,UFA,"$1,000,000","$1,000,000"
492, Madison Bowey,DET,23,RD,Right,50,2,8,10,0.2,-1,48,0.04,15:15,2.22,48,113,78,0.17,3.77,8.89,6.13,-,-,-,-,-,,RFA,"$1,000,000","$1,000,000"
493, Andrew Copp,WPG,23,"C, LW",Left,69,11,14,25,0.36,20,82,0.13,12:09,10.32,82,139,110,0.74,5.86,9.94,7.87,-,-,-,-,-,,RFA,"$1,000,000","$1,100,000"
494, Jakub Jeřábek,-,27,LD,Left,1,0,0,0,0,-3,1,0,7:52,0.19,1,2,2,1.45,7.62,15.25,15.25,-,-,-,-,-,,UFA,"$1,000,000","$1,000,000"
495, Scott Laughton,PHI,24,"LW, C",Left,82,12,20,32,0.39,-11,130,0.09,14:51,15.54,130,211,173,0.77,6.4,10.4,8.52,-,-,-,-,-,,RFA,"$962,500","$1,050,000"
496, Tomas Nosek,VGK,25,"C, LW",Left,68,8,9,17,0.25,-10,116,0.07,12:28,12.18,116,189,153,0.86,8.21,13.37,10.83,-,-,-,-,-,,UFA,"$962,500","$962,500"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No QO,,
497, Curtis Lazar,BUF,23,"C, RW",Right,1,0,0,0,0,-1,0,0,4:48,0,0,0,0,0,0,0,0,-,-,-,-,-,,UFA,"$950,000","$1,050,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No QO,,
498, Antti Niemi,-,34,G,Left,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,0,3.78,0.887,,UFA,"$950,000","$950,000"
499, Gabriel Bourque,WPG,27,"LW, RW",Left,55,2,6,8,0.15,3,34,0.06,9:44,3.8,34,60,53,0.43,3.81,6.72,5.94,-,-,-,-,-,,UFA,"$950,000","$950,000"
500, Nicolas Deslauriers,ANA,27,"RW, LW",Left,48,2,3,5,0.1,-12,48,0.04,10:02,4.17,48,85,67,0.52,5.98,10.58,8.34,-,-,-,-,-,,UFA,"$950,000","$950,000"
501, Josh Leivo,VAN,25,"RW, LW",Right,76,14,10,24,0.32,5,151,0.09,14:02,15.06,151,276,214,0.85,8.5,15.53,12.04,-,-,-,-,-,,RFA,"$925,000","$925,000"
